id,name,type
1,北京,province
2,天津,province
3,上海,province
4,重庆,province
5,香港,province
6,澳门,province
7,内蒙古,province
8,广西,province
9,西藏,province
10,宁夏,province
11,新疆,province
12,河北,province
13,山西,province
14,辽宁,province
15,吉林,province
16,黑龙江,province
17,江苏,province
18,浙江,province
19,安徽,province
20,福建,province
21,江西,province
22,山东,province
23,河南,province
24,湖北,province
25,湖南,province
26,广东,province
27,海南,province
28,四川,province
29,贵州,province
30,云南,province
31,陕西,province
32,甘肃,province
33,青海,province
34,台湾,province
